window_time_formatted,tollgate,direction,model,is_etc,veh_type,rounded_hour,rounded_min,count,direction,tollgate_id,window_time_formatted,hour
2016-10-18 08:00:00,1,0,1.06,0.24,,6,0,50,0,1,2016-10-18 08:00:00,8
2016-10-18 08:00:00,1,1,1.23655913978,0.258064516129,0.150537634409,6,0,93,1,1,2016-10-18 08:00:00,8
2016-10-18 08:00:00,2,0,1.04166666667,0.316666666667,,6,0,120,0,2,2016-10-18 08:00:00,8
2016-10-18 08:00:00,3,0,1.09595959596,0.308080808081,,6,0,198,0,3,2016-10-18 08:00:00,8
2016-10-18 08:00:00,3,1,1.04201680672,0.378151260504,0.0504201680672,6,0,119,1,3,2016-10-18 08:00:00,8
2016-10-18 08:20:00,1,0,1.09756097561,0.317073170732,,6,20,41,0,1,2016-10-18 08:20:00,8
2016-10-18 08:20:00,1,1,1.28358208955,0.313432835821,0.149253731343,6,20,134,1,1,2016-10-18 08:20:00,8
2016-10-18 08:20:00,2,0,1.1,0.307692307692,,6,20,130,0,2,2016-10-18 08:20:00,8
2016-10-18 08:20:00,3,0,1.15032679739,0.294117647059,,6,20,153,0,3,2016-10-18 08:20:00,8
2016-10-18 08:20:00,3,1,1.14851485149,0.346534653465,0.108910891089,6,20,101,1,3,2016-10-18 08:20:00,8
2016-10-18 08:40:00,1,0,1.0612244898,0.30612244898,,6,40,49,0,1,2016-10-18 08:40:00,8
2016-10-18 08:40:00,1,1,1.28099173554,0.280991735537,0.173553719008,6,40,121,1,1,2016-10-18 08:40:00,8
2016-10-18 08:40:00,2,0,1.06034482759,0.301724137931,,6,40,116,0,2,2016-10-18 08:40:00,8
2016-10-18 08:40:00,3,0,1.144,0.256,,6,40,125,0,3,2016-10-18 08:40:00,8
2016-10-18 08:40:00,3,1,1.14705882353,0.411764705882,0.0661764705882,6,40,136,1,3,2016-10-18 08:40:00,8
2016-10-18 09:00:00,1,0,1.16393442623,0.196721311475,,9,0,61,0,1,2016-10-18 09:00:00,9
2016-10-18 09:00:00,1,1,1.31395348837,0.174418604651,0.267441860465,9,0,86,1,1,2016-10-18 09:00:00,9
2016-10-18 09:00:00,2,0,1.14893617021,0.276595744681,,9,0,94,0,2,2016-10-18 09:00:00,9
2016-10-18 09:00:00,3,0,1.19886363636,0.301136363636,,9,0,176,0,3,2016-10-18 09:00:00,9
2016-10-18 09:00:00,3,1,1.16666666667,0.366666666667,0.133333333333,9,0,120,1,3,2016-10-18 09:00:00,9
2016-10-18 09:20:00,1,0,1.15384615385,0.25641025641,,9,20,39,0,1,2016-10-18 09:20:00,9
2016-10-18 09:20:00,1,1,1.25,0.222222222222,0.314814814815,9,20,108,1,1,2016-10-18 09:20:00,9
2016-10-18 09:20:00,2,0,1.17777777778,0.233333333333,,9,20,90,0,2,2016-10-18 09:20:00,9
2016-10-18 09:20:00,3,0,1.16153846154,0.269230769231,,9,20,130,0,3,2016-10-18 09:20:00,9
2016-10-18 09:20:00,3,1,1.22794117647,0.345588235294,0.161764705882,9,20,136,1,3,2016-10-18 09:20:00,9
2016-10-18 09:40:00,1,0,1.0652173913,0.304347826087,,9,40,46,0,1,2016-10-18 09:40:00,9
2016-10-18 09:40:00,1,1,1.32743362832,0.238938053097,0.194690265487,9,40,113,1,1,2016-10-18 09:40:00,9
2016-10-18 09:40:00,2,0,1.16216216216,0.216216216216,,9,40,74,0,2,2016-10-18 09:40:00,9
2016-10-18 09:40:00,3,0,1.26771653543,0.181102362205,,9,40,127,0,3,2016-10-18 09:40:00,9
2016-10-18 09:40:00,3,1,1.20202020202,0.262626262626,0.171717171717,9,40,99,1,3,2016-10-18 09:40:00,9
2016-10-18 17:00:00,1,0,1.05,0.2,,15,0,40,0,1,2016-10-18 17:00:00,17
2016-10-18 17:00:00,1,1,1.36559139785,0.290322580645,0.150537634409,15,0,93,1,1,2016-10-18 17:00:00,17
2016-10-18 17:00:00,2,0,1.1884057971,0.289855072464,,15,0,69,0,2,2016-10-18 17:00:00,17
2016-10-18 17:00:00,3,0,1.1376146789,0.284403669725,,15,0,109,0,3,2016-10-18 17:00:00,17
2016-10-18 17:00:00,3,1,1.07692307692,0.269230769231,0.0769230769231,15,0,78,1,3,2016-10-18 17:00:00,17
2016-10-18 17:20:00,1,0,1.07142857143,0.285714285714,,15,20,42,0,1,2016-10-18 17:20:00,17
2016-10-18 17:20:00,1,1,1.41666666667,0.347222222222,0.125,15,20,72,1,1,2016-10-18 17:20:00,17
2016-10-18 17:20:00,2,0,1.14545454545,0.345454545455,,15,20,55,0,2,2016-10-18 17:20:00,17
2016-10-18 17:20:00,3,0,1.21428571429,0.30612244898,,15,20,98,0,3,2016-10-18 17:20:00,17
2016-10-18 17:20:00,3,1,1.12,0.32,0.0933333333333,15,20,75,1,3,2016-10-18 17:20:00,17
2016-10-18 17:40:00,1,0,1.0,0.217391304348,,15,40,23,0,1,2016-10-18 17:40:00,17
2016-10-18 17:40:00,1,1,1.35074626866,0.388059701493,0.089552238806,15,40,134,1,1,2016-10-18 17:40:00,17
2016-10-18 17:40:00,2,0,1.16417910448,0.238805970149,,15,40,67,0,2,2016-10-18 17:40:00,17
2016-10-18 17:40:00,3,0,1.23863636364,0.204545454545,,15,40,88,0,3,2016-10-18 17:40:00,17
2016-10-18 17:40:00,3,1,1.1511627907,0.395348837209,0.104651162791,15,40,86,1,3,2016-10-18 17:40:00,17
2016-10-18 18:00:00,1,0,1.14814814815,0.333333333333,,18,0,27,0,1,2016-10-18 18:00:00,18
2016-10-18 18:00:00,1,1,1.20547945205,0.356164383562,0.123287671233,18,0,73,1,1,2016-10-18 18:00:00,18
2016-10-18 18:00:00,2,0,1.1186440678,0.203389830508,,18,0,59,0,2,2016-10-18 18:00:00,18
2016-10-18 18:00:00,3,0,1.21276595745,0.276595744681,,18,0,94,0,3,2016-10-18 18:00:00,18
2016-10-18 18:00:00,3,1,1.20547945205,0.232876712329,0.109589041096,18,0,73,1,3,2016-10-18 18:00:00,18
2016-10-18 18:20:00,1,0,1.08695652174,0.304347826087,,18,20,23,0,1,2016-10-18 18:20:00,18
2016-10-18 18:20:00,1,1,1.2380952381,0.333333333333,0.178571428571,18,20,84,1,1,2016-10-18 18:20:00,18
2016-10-18 18:20:00,2,0,1.1320754717,0.452830188679,,18,20,53,0,2,2016-10-18 18:20:00,18
2016-10-18 18:20:00,3,0,1.33333333333,0.166666666667,,18,20,66,0,3,2016-10-18 18:20:00,18
2016-10-18 18:20:00,3,1,1.2,0.307692307692,0.107692307692,18,20,65,1,3,2016-10-18 18:20:00,18
