time,tollgate_id,direction,vehicle_model,has_etc,vehicle_type,month,day,hour,minute,date,rounded_hour,rounded_min,date_Rhour,date.1,hour.1,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,is_month_9,is_month_10,is_day_1,is_day_2,is_day_3,is_day_4,is_day_5,is_day_6,is_day_7,is_day_8,is_day_9,is_day_11,is_day_12,is_day_13,is_day_14,is_day_15,is_day_16,is_day_17,is_day_19,is_day_20,is_day_21,is_day_22,is_day_23,is_day_24,is_day_25,is_day_26,is_day_27,is_day_28,is_day_29,is_day_30,is_hour_0,is_hour_1,is_hour_2,is_hour_3,is_hour_4,is_hour_5,is_hour_6,is_hour_7,is_hour_8,is_hour_9,is_hour_10,is_hour_11,is_hour_12,is_hour_13,is_hour_14,is_hour_15,is_hour_16,is_hour_17,is_hour_18,is_hour_19,is_hour_20,is_hour_21,is_hour_22,is_hour_23,is_tollgate_1,is_tollgate_2,is_tollgate_3,is_direction_0,is_direction_1,log_wind_direction,norm_rel_humidity,norm_pressure,norm_sea_pressure,norm_temperature,sequence
2016-09-19 23:09:25,2,0,1,0,,9,19,23,9,2016-09-19,21,0,2016-09-1921,2016-09-19,21,1012,1017,319,2.7,19.1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5.76519,0.589286,0.584416,0.583333,0.26738,0
2016-09-19 23:11:53,2,0,1,0,,9,19,23,11,2016-09-19,21,0,2016-09-1921,2016-09-19,21,1012,1017,319,2.7,19.1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5.76519,0.589286,0.584416,0.583333,0.26738,1
2016-09-19 23:13:54,2,0,1,0,,9,19,23,13,2016-09-19,21,0,2016-09-1921,2016-09-19,21,1012,1017,319,2.7,19.1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5.76519,0.589286,0.584416,0.583333,0.26738,2
2016-09-19 23:17:48,1,0,1,1,,9,19,23,17,2016-09-19,21,0,2016-09-1921,2016-09-19,21,1012,1017,319,2.7,19.1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5.76519,0.589286,0.584416,0.583333,0.26738,3
2016-09-19 23:16:07,2,0,1,0,,9,19,23,16,2016-09-19,21,0,2016-09-1921,2016-09-19,21,1012,1017,319,2.7,19.1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5.76519,0.589286,0.584416,0.583333,0.26738,4
2016-09-19 23:18:20,3,0,2,0,,9,19,23,18,2016-09-19,21,0,2016-09-1921,2016-09-19,21,1012,1017,319,2.7,19.1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5.76519,0.589286,0.584416,0.583333,0.26738,5
2016-09-19 23:18:33,3,0,1,0,,9,19,23,18,2016-09-19,21,0,2016-09-1921,2016-09-19,21,1012,1017,319,2.7,19.1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5.76519,0.589286,0.584416,0.583333,0.26738,6
2016-09-19 23:19:16,2,0,1,0,,9,19,23,19,2016-09-19,21,0,2016-09-1921,2016-09-19,21,1012,1017,319,2.7,19.1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5.76519,0.589286,0.584416,0.583333,0.26738,7
2016-09-19 23:19:34,2,0,2,0,,9,19,23,19,2016-09-19,21,0,2016-09-1921,2016-09-19,21,1012,1017,319,2.7,19.1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5.76519,0.589286,0.584416,0.583333,0.26738,8
2016-09-19 23:20:04,3,0,1,0,,9,19,23,20,2016-09-19,21,20,2016-09-1921,2016-09-19,21,1012,1017,319,2.7,19.1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5.76519,0.589286,0.584416,0.583333,0.26738,9
